freq, data
2.800000000000000000e+09, -5.412249517403628474e+00
2.800250000000000000e+09, -5.406063027615857663e+00
2.800500000000000000e+09, -5.399810089283794134e+00
2.800750000000000000e+09, -5.393489746028461873e+00
2.801000000000000000e+09, -5.387101024178750031e+00
2.801250000000000000e+09, -5.380642932394354538e+00
2.801500000000000000e+09, -5.374114461279076771e+00
2.801750000000000000e+09, -5.367514582984204807e+00
2.802000000000000000e+09, -5.360842250801675313e+00
2.802250000000000000e+09, -5.354096398746715835e+00
2.802500000000000000e+09, -5.347275941129664645e+00
2.802750000000000000e+09, -5.340379772116632395e+00
2.803000000000000000e+09, -5.333406765278673412e+00
2.803250000000000000e+09, -5.326355773129139770e+00
2.803500000000000000e+09, -5.319225626648829142e+00
2.803750000000000000e+09, -5.312015134798591554e+00
2.804000000000000000e+09, -5.304723084018988288e+00
2.804250000000000000e+09, -5.297348237716621000e+00
2.804500000000000000e+09, -5.289889335736721598e+00
2.804750000000000000e+09, -5.282345093821577464e+00
2.805000000000000000e+09, -5.274714203054352346e+00
2.805250000000000000e+09, -5.266995329287864180e+00
2.805500000000000000e+09, -5.259187112557832222e+00
2.805750000000000000e+09, -5.251288166480129860e+00
2.806000000000000000e+09, -5.243297077631517311e+00
2.806250000000000000e+09, -5.235212404913363926e+00
2.806500000000000000e+09, -5.227032678897794327e+00
2.806750000000000000e+09, -5.218756401155719260e+00
2.807000000000000000e+09, -5.210382043566168520e+00
2.807250000000000000e+09, -5.201908047606324637e+00
2.807500000000000000e+09, -5.193332823621646277e+00
2.807750000000000000e+09, -5.184654750075431195e+00
2.808000000000000000e+09, -5.175872172777156166e+00
2.808250000000000000e+09, -5.166983404088902887e+00
2.808500000000000000e+09, -5.157986722109166422e+00
2.808750000000000000e+09, -5.148880369833275239e+00
2.809000000000000000e+09, -5.139662554289698093e+00
2.809250000000000000e+09, -5.130331445651389544e+00
2.809500000000000000e+09, -5.120885176321394283e+00
2.809750000000000000e+09, -5.111321839991814997e+00
2.810000000000000000e+09, -5.101639490675275113e+00
2.810250000000000000e+09, -5.091836141707937635e+00
2.810500000000000000e+09, -5.081909764723139489e+00
2.810750000000000000e+09, -5.071858288594619957e+00
2.811000000000000000e+09, -5.061679598348322706e+00
2.811250000000000000e+09, -5.051371534041704692e+00
2.811500000000000000e+09, -5.040931889609416849e+00
2.811750000000000000e+09, -5.030358411674209052e+00
2.812000000000000000e+09, -5.019648798321854066e+00
2.812250000000000000e+09, -5.008800697838838190e+00
2.812500000000000000e+09, -4.997811707411512927e+00
2.812750000000000000e+09, -4.986679371785356807e+00
2.813000000000000000e+09, -4.975401181882947554e+00
2.813250000000000000e+09, -4.963974573379173805e+00
2.813500000000000000e+09, -4.952396925232166680e+00
2.813750000000000000e+09, -4.940665558168374716e+00
2.814000000000000000e+09, -4.928777733120126570e+00
2.814250000000000000e+09, -4.916730649613975324e+00
2.814500000000000000e+09, -4.904521444108040029e+00
2.814750000000000000e+09, -4.892147188276482872e+00
2.815000000000000000e+09, -4.879604887239198163e+00
2.815250000000000000e+09, -4.866891477734690774e+00
2.815500000000000000e+09, -4.854003826234050578e+00
2.815750000000000000e+09, -4.840938726993847752e+00
2.816000000000000000e+09, -4.827692900045651214e+00
2.816250000000000000e+09, -4.814262989119828084e+00
2.816500000000000000e+09, -4.800645559501120374e+00
2.816750000000000000e+09, -4.786837095813445409e+00
2.817000000000000000e+09, -4.772833999731221688e+00
2.817250000000000000e+09, -4.758632587614412657e+00
2.817500000000000000e+09, -4.744229088064370714e+00
2.817750000000000000e+09, -4.729619639397430575e+00
2.818000000000000000e+09, -4.714800287033053650e+00
2.818250000000000000e+09, -4.699766980793221194e+00
2.818500000000000000e+09, -4.684515572109578585e+00
2.818750000000000000e+09, -4.669041811134730047e+00
2.819000000000000000e+09, -4.653341343753877979e+00
2.819250000000000000e+09, -4.637409708492863381e+00
2.819500000000000000e+09, -4.621242333318468454e+00
2.819750000000000000e+09, -4.604834532326662178e+00
2.820000000000000000e+09, -4.588181502314271576e+00
2.820250000000000000e+09, -4.571278319229351794e+00
2.820500000000000000e+09, -4.554119934495322930e+00
2.820750000000000000e+09, -4.536701171203702643e+00
2.821000000000000000e+09, -4.519016720170014878e+00
2.821250000000000000e+09, -4.501061135847241879e+00
2.821500000000000000e+09, -4.482828832090863358e+00
2.821750000000000000e+09, -4.464314077769298450e+00
2.822000000000000000e+09, -4.445510992213252521e+00
2.822250000000000000e+09, -4.426413540497142307e+00
2.822500000000000000e+09, -4.407015528545493055e+00
2.822750000000000000e+09, -4.387310598056802569e+00
2.823000000000000000e+09, -4.367292221237057959e+00
2.823250000000000000e+09, -4.346953695334660139e+00
2.823500000000000000e+09, -4.326288136968155840e+00
2.823750000000000000e+09, -4.305288476237708828e+00
2.824000000000000000e+09, -4.283947450610829932e+00
2.824250000000000000e+09, -4.262257598572384509e+00
2.824500000000000000e+09, -4.240211253028427940e+00
2.824750000000000000e+09, -4.217800534452845085e+00
2.825000000000000000e+09, -4.195017343765280238e+00
2.825250000000000000e+09, -4.171853354928183322e+00
2.825500000000000000e+09, -4.148300007250233179e+00
2.825750000000000000e+09, -4.124348497382711365e+00
2.826000000000000000e+09, -4.099989770994712401e+00
2.826250000000000000e+09, -4.075214514112339259e+00
2.826500000000000000e+09, -4.050013144106262786e+00
2.826750000000000000e+09, -4.024375800311180917e+00
2.827000000000000000e+09, -3.998292334259862635e+00
2.827250000000000000e+09, -3.971752299513513940e+00
2.827500000000000000e+09, -3.944744941069250554e+00
2.827750000000000000e+09, -3.917259184324387356e+00
2.828000000000000000e+09, -3.889283623576186955e+00
2.828250000000000000e+09, -3.860806510034516137e+00
2.828500000000000000e+09, -3.831815739323630510e+00
2.828750000000000000e+09, -3.802298838447988771e+00
2.829000000000000000e+09, -3.772242952195587584e+00
2.829250000000000000e+09, -3.741634828950840763e+00
2.829500000000000000e+09, -3.710460805887424662e+00
2.829750000000000000e+09, -3.678706793509855633e+00
2.830000000000000000e+09, -3.646358259510748212e+00
2.830250000000000000e+09, -3.613400211908833981e+00
2.830500000000000000e+09, -3.579817181430769324e+00
2.830750000000000000e+09, -3.545593203097616275e+00
2.831000000000000000e+09, -3.510711796974595345e+00
2.831250000000000000e+09, -3.475155948040224541e+00
2.831500000000000000e+09, -3.438908085128402625e+00
2.831750000000000000e+09, -3.401950058894156470e+00
2.832000000000000000e+09, -3.364263118750837389e+00
2.832250000000000000e+09, -3.325827888723364989e+00
2.832500000000000000e+09, -3.286624342158731338e+00
2.832750000000000000e+09, -3.246631775231358041e+00
2.833000000000000000e+09, -3.205828779177020138e+00
2.833250000000000000e+09, -3.164193211184939791e+00
2.833500000000000000e+09, -3.121702163873170122e+00
2.833750000000000000e+09, -3.078331933267713261e+00
2.834000000000000000e+09, -3.034057985200678154e+00
2.834250000000000000e+09, -2.988854920037382179e+00
2.834500000000000000e+09, -2.942696435636445784e+00
2.834750000000000000e+09, -2.895555288440674779e+00
2.835000000000000000e+09, -2.847403252589813416e+00
2.835250000000000000e+09, -2.798211076939031372e+00
2.835500000000000000e+09, -2.747948439859271286e+00
2.835750000000000000e+09, -2.696583901687247042e+00
2.836000000000000000e+09, -2.644084854683931063e+00
2.836250000000000000e+09, -2.590417470350738327e+00
2.836500000000000000e+09, -2.535546643942232947e+00
2.836750000000000000e+09, -2.479435936003023144e+00
2.837000000000000000e+09, -2.422047510744439247e+00
2.837250000000000000e+09, -2.363342071063648131e+00
2.837500000000000000e+09, -2.303278789993788767e+00
2.837750000000000000e+09, -2.241815238358626061e+00
2.838000000000000000e+09, -2.178907308388854602e+00
