freq, data
2.800000000000000000e+09, -7.927935357276003181e+00
2.800250000000000000e+09, -7.917547977885533328e+00
2.800500000000000000e+09, -7.907048544536645629e+00
2.800750000000000000e+09, -7.896435434895915151e+00
2.801000000000000000e+09, -7.885706997078498759e+00
2.801250000000000000e+09, -7.874861548998056016e+00
2.801500000000000000e+09, -7.863897377699888835e+00
2.801750000000000000e+09, -7.852812738676783866e+00
2.802000000000000000e+09, -7.841605855167067318e+00
2.802250000000000000e+09, -7.830274917434305593e+00
2.802500000000000000e+09, -7.818818082028139216e+00
2.802750000000000000e+09, -7.807233471025651461e+00
2.803000000000000000e+09, -7.795519171252695223e+00
2.803250000000000000e+09, -7.783673233484567966e+00
2.803500000000000000e+09, -7.771693671625405031e+00
2.803750000000000000e+09, -7.759578461865634047e+00
2.804000000000000000e+09, -7.747325541816828753e+00
2.804250000000000000e+09, -7.734932809623248140e+00
2.804500000000000000e+09, -7.722398123049350360e+00
2.804750000000000000e+09, -7.709719298542532684e+00
2.805000000000000000e+09, -7.696894110270320333e+00
2.805250000000000000e+09, -7.683920289131198622e+00
2.805500000000000000e+09, -7.670795521738275724e+00
2.805750000000000000e+09, -7.657517449374896756e+00
2.806000000000000000e+09, -7.644083666921332565e+00
2.806250000000000000e+09, -7.630491721751614165e+00
2.806500000000000000e+09, -7.616739112599562489e+00
2.806750000000000000e+09, -7.602823288393024015e+00
2.807000000000000000e+09, -7.588741647055281092e+00
2.807250000000000000e+09, -7.574491534272573823e+00
2.807500000000000000e+09, -7.560070242226645476e+00
2.807750000000000000e+09, -7.545475008291147034e+00
2.808000000000000000e+09, -7.530703013690732028e+00
2.808250000000000000e+09, -7.515751382121603541e+00
2.808500000000000000e+09, -7.500617178332250390e+00
2.808750000000000000e+09, -7.485297406663024233e+00
2.809000000000000000e+09, -7.469789009543227110e+00
2.809250000000000000e+09, -7.454088865944235920e+00
2.809500000000000000e+09, -7.438193789787227672e+00
2.809750000000000000e+09, -7.422100528303946732e+00
2.810000000000000000e+09, -7.405805760348922462e+00
2.810250000000000000e+09, -7.389306094661499458e+00
2.810500000000000000e+09, -7.372598068075939537e+00
2.810750000000000000e+09, -7.355678143677826242e+00
2.811000000000000000e+09, -7.338542708904909340e+00
